Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup,Instance_no_df2,Instance_name_df2,No. of Edges_df2,No. of Threads_df2,EPM_Time,Objective Function_EPM,Sol_Status_EPM
25,CARP_N17_g_graph.dat,268,305,2,unlimited,17.31,106992.0,integer optimal solution,16.04,1.66,17.7,106992.0,integer optimal solution,0.98,7,CARP_N17_g_graph.dat,305,unlimited,14.53,106992.0,integer optimal solution
26,CARP_N17_g_graph.dat,268,305,10,unlimited,39.41,33375.0,integer optimal solution,13.74,1.66,15.4,33375.0,integer optimal solution,2.56,8,CARP_N17_g_graph.dat,305,unlimited,12.11,33375.0,integer optimal solution
27,CARP_N17_g_graph.dat,268,305,30,unlimited,90.68,11845.0,integer optimal solution,11.98,1.66,13.64,11845.0,integer optimal solution,6.65,9,CARP_N17_g_graph.dat,305,unlimited,8.27,11845.0,integer optimal solution
28,CARP_N17_g_graph.dat,268,305,40,unlimited,160.44,8116.0,integer optimal solution,12.29,1.66,13.95,8116.0,integer optimal solution,11.5,10,CARP_N17_g_graph.dat,305,unlimited,8.25,8116.0,integer optimal solution
29,CARP_N17_g_graph.dat,268,305,50,unlimited,153.95,5793.0,integer optimal solution,11.65,1.66,13.31,5793.0,integer optimal solution,11.57,11,CARP_N17_g_graph.dat,305,unlimited,6.81,5793.0,integer optimal solution
30,CARP_N17_g_graph.dat,268,305,100,unlimited,385.18,731.0,integer optimal solution,12.71,1.66,14.37,731.0,integer optimal solution,26.8,12,CARP_N17_g_graph.dat,305,unlimited,7.23,731.0,integer optimal solution
31,CARP_N16_g_graph.dat,915,1030,2,unlimited,264.5,902460.0,integer optimal solution,611.03,33.92,644.9499999999999,902460.0,integer optimal solution,0.41,31,CARP_N16_g_graph.dat,1030,unlimited,255.5,902460.0,integer optimal solution
32,CARP_N16_g_graph.dat,915,1030,10,unlimited,299.1,345416.0,integer optimal solution,518.37,33.92,552.29,345416.0,integer optimal solution,0.54,32,CARP_N16_g_graph.dat,1030,unlimited,123.8,345416.0,integer optimal solution
33,CARP_N16_g_graph.dat,915,1030,30,unlimited,895.96,152386.0,"""integer optimal",320.8,33.92,354.72,152386.0,"""integer optimal",2.53,33,CARP_N16_g_graph.dat,1030,unlimited,93.52,152386.0,"""integer optimal"
34,CARP_N16_g_graph.dat,915,1030,40,unlimited,2929.02,122355.0,integer optimal solution,289.73,33.92,323.65000000000003,122355.0,"""integer optimal",9.05,34,CARP_N16_g_graph.dat,1030,unlimited,110.48,122355.0,"""integer optimal"
35,CARP_N16_g_graph.dat,915,1030,50,unlimited,3358.44,101469.0,"""integer optimal",235.66,33.92,269.58,101469.0,"""integer optimal",12.46,35,CARP_N16_g_graph.dat,1030,unlimited,88.6,101469.0,"""integer optimal"
36,CARP_N16_g_graph.dat,915,1030,100,unlimited,4767.51,49138.0,"""integer optimal",244.13,33.92,278.05,49138.0,integer optimal solution,17.15,36,CARP_N16_g_graph.dat,1030,unlimited,81.96,49138.0,"""integer optimal"
37,CARP_N15_g_graph.dat,2171,2459,2,unlimited,14866.19,5577834.0,integer optimal solution,12016.71,286.7,12303.41,5577834.0,integer optimal solution,1.21,67,CARP_N15_g_graph.dat,2459,unlimited,15115.38,5577834.0,integer optimal solution
38,CARP_N15_g_graph.dat,2171,2459,10,unlimited,15114.3,2389986.0,integer optimal solution,12443.34,286.7,12730.04,2389986.0,integer optimal solution,1.19,68,CARP_N15_g_graph.dat,2459,unlimited,15817.61,2389986.0,integer optimal solution
39,CARP_N15_g_graph.dat,2171,2459,30,unlimited,17740.31,1098459.0,integer optimal solution,5552.95,286.7,5839.65,1098459.0,integer optimal solution,3.04,69,CARP_N15_g_graph.dat,2459,unlimited,15622.49,1098459.0,integer optimal solution
40,CARP_N15_g_graph.dat,2171,2459,40,unlimited,23592.08,898697.0,integer optimal solution,5468.35,286.7,5755.05,898697.0,"""integer optimal",4.1,70,CARP_N15_g_graph.dat,2459,unlimited,16642.88,898697.0,"""integer optimal"
41,CARP_N15_g_graph.dat,2171,2459,50,unlimited,17647.94,753991.0,integer optimal solution,3707.56,286.7,3994.26,753991.0,integer optimal solution,4.42,71,CARP_N15_g_graph.dat,2459,unlimited,14653.68,753991.0,integer optimal solution
42,CARP_N15_g_graph.dat,2171,2459,100,unlimited,39182.49,416344.0,"""integer optimal",2993.1,286.7,3279.8,416344.0,"""integer optimal",11.95,72,CARP_N15_g_graph.dat,2459,unlimited,15879.69,416344.0,"""integer optimal"
43,CARP_N11_g_graph.dat,2134,2411,2,unlimited,18496.05,10907743.0,integer optimal solution,12495.14,286.95,12782.09,10907743.0,integer optimal solution,1.45,61,CARP_N11_g_graph.dat,2411,unlimited,17949.22,10907743.0,integer optimal solution
