Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,tolerance,No. of Threads,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,gap,Comments
44.00,CARP_O12_g_graph.dat,761.00,852.00,20.00,0.10,unlimited,5362.00,20.32,5383.00,228857.00,integer optimal solution,0.00,
45.00,CARP_O12_g_graph.dat,761.00,852.00,20.00,0.50,unlimited,13322.61,20.32,13343.00,198304.00,"""integer optimal",0.01,
46.00,CARP_O12_g_graph.dat,761.00,852.00,30.00,0.01,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
47.00,CARP_O12_g_graph.dat,761.00,852.00,30.00,0.10,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
48.00,CARP_O12_g_graph.dat,761.00,852.00,30.00,0.50,unlimited,5523.66,20.32,5544.00,144093.00,"""integer optimal",0.01,
49.00,CARP_O12_g_graph.dat,761.00,852.00,40.00,0.01,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
50.00,CARP_O12_g_graph.dat,761.00,852.00,40.00,0.10,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
51.00,CARP_O12_g_graph.dat,761.00,852.00,40.00,0.50,unlimited,7883.64,20.32,7904.00,110803.00,"""integer optimal",0.01,
52.00,CARP_O12_g_graph.dat,761.00,852.00,50.00,0.01,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
53.00,CARP_O12_g_graph.dat,761.00,852.00,50.00,0.10,unlimited,,,,,CPLEX Error  1217: No solution exists.,,Infeasible
54.00,CARP_O12_g_graph.dat,761.00,852.00,50.00,0.50,unlimited,2421.83,20.32,2442.00,84818.00,"""integer optimal",0.01,
