Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,EPM_Time,Objective Function_EPM,Sol_Status_EPM
67,CARP_N15_g_graph.dat,2171,2459,2,unlimited,15115.38,5577834.0,integer optimal solution
68,CARP_N15_g_graph.dat,2171,2459,10,unlimited,15817.61,2389986.0,integer optimal solution
69,CARP_N15_g_graph.dat,2171,2459,30,unlimited,15622.49,1098459.0,integer optimal solution
70,CARP_N15_g_graph.dat,2171,2459,40,unlimited,16642.88,898697.0,"""integer optimal"
71,CARP_N15_g_graph.dat,2171,2459,50,unlimited,14653.68,753991.0,integer optimal solution
72,CARP_N15_g_graph.dat,2171,2459,100,unlimited,15879.69,416344.0,"""integer optimal"
73,CARP_F6_p_graph.dat,502,741,2,unlimited,65.9,642808.0,integer optimal solution
74,CARP_F6_p_graph.dat,502,741,10,unlimited,55.58,231232.0,"""integer optimal"
75,CARP_F6_p_graph.dat,502,741,30,unlimited,43.98,98561.0,integer optimal solution
76,CARP_F6_p_graph.dat,502,741,40,unlimited,25.14,76101.0,integer optimal solution
77,CARP_F6_p_graph.dat,502,741,50,unlimited,34.67,61507.0,"""integer optimal"
78,CARP_F6_p_graph.dat,502,741,100,unlimited,29.97,26075.0,"""integer optimal"
