Instance_no,Instance_name,No. of Nodes,No. of Edges,No. of Districts,No. of Threads,Branch_Cut_Time,Objective Function_Branch_Cut,Sol_Status_Branch_Cut,Time_SP_Const,Time_to_print_path,Total_Time_SP,Objective_Function_SPC,Sol_Status_SP_Const,Speedup
42,CARP_N15_g_graph.dat,2171,2459,100,unlimited,39182.49,416344,"""integer optimal",2993.1,286.7,3279.8,416344,"""integer optimal",11.95
43,CARP_N11_g_graph.dat,2134,2411,2,unlimited,18496.05,10907743,integer optimal solution,12495.14,286.95,12782.09,10907743,integer optimal solution,1.45
44,CARP_N11_g_graph.dat,2134,2411,10,unlimited,15681.93,3127022,integer optimal solution,11448.13,286.95,11735.08,3127022,integer optimal solution,1.34
45,CARP_N11_g_graph.dat,2134,2411,30,unlimited,16120.05,1521305,integer optimal solution,5220.11,286.95,5507.06,1521305,integer optimal solution,2.93
46,CARP_N11_g_graph.dat,2134,2411,40,unlimited,16479.26,1235625,integer optimal solution,3761.64,286.95,4048.59,1235625,integer optimal solution,4.07
47,CARP_N11_g_graph.dat,2134,2411,50,unlimited,16455.6,1053072,integer optimal solution,3237.15,286.95,3524.1,1053072,integer optimal solution,4.67
48,CARP_N11_g_graph.dat,2134,2411,100,unlimited,30691.29,591074,integer optimal solution,2786.81,286.95,3073.76,591074,"""integer optimal",9.98
49,CARP_N9_g_graph.dat,2018,2655,2,unlimited,16489.28,20147572,integer optimal solution,11998.6,324.8,12323.4,20147572,integer optimal solution,1.34
50,CARP_N9_g_graph.dat,2018,2655,10,unlimited,17448.47,6688786,integer optimal solution,10655.47,324.8,10980.27,6688786,integer optimal solution,1.59
51,CARP_N9_g_graph.dat,2018,2655,30,unlimited,23996.29,2832819,"""integer optimal",7310.81,324.8,7635.61,2832819,"""integer optimal",3.14
52,CARP_N9_g_graph.dat,2018,2655,40,unlimited,19148.72,2244107,integer optimal solution,4695.8,324.8,5020.6,2244107,integer optimal solution,3.81
53,CARP_N9_g_graph.dat,2018,2655,50,unlimited,10415.89,1886869,integer optimal solution,3308.41,324.8,3633.21,1886869,integer optimal solution,2.87
54,CARP_N9_g_graph.dat,2018,2655,100,unlimited,24231.86,1059897,integer optimal solution,2865.61,324.8,3190.41,1059897,integer optimal solution,7.6
55,CARP_K13_g_graph.dat,393,421,2,unlimited,23.28,760744,integer optimal solution,35.12,4.7,39.82,760744,integer optimal solution,0.58
56,CARP_K13_g_graph.dat,393,421,10,unlimited,37.26,246581,integer optimal solution,29.9,4.7,34.6,246581,integer optimal solution,1.08
57,CARP_K13_g_graph.dat,393,421,30,unlimited,191.25,83458,integer optimal solution,27.91,4.7,32.61,83458,integer optimal solution,5.86
58,CARP_K13_g_graph.dat,393,421,40,unlimited,618.77,60820,integer optimal solution,30.22,4.7,34.92,60820,integer optimal solution,17.72
59,CARP_K13_g_graph.dat,393,421,50,unlimited,238.7,44294,integer optimal solution,27.05,4.7,31.75,44294,integer optimal solution,7.52
60,CARP_K13_g_graph.dat,393,421,100,unlimited,591.88,10478,integer optimal solution,28,4.7,32.7,10478,integer optimal solution,18.1
61,CARP_K9_p_graph.dat,1735,2226,2,unlimited,9258.2,15368540,integer optimal solution,6539.98,158.1,6698.08,15368540,integer optimal solution,1.38
62,CARP_K9_p_graph.dat,1735,2226,10,unlimited,8248.59,5061748,integer optimal solution,5969.24,158.1,6127.34,5061748,integer optimal solution,1.35
63,CARP_K9_p_graph.dat,1735,2226,30,unlimited,9209.63,2363107,integer optimal solution,3696.25,158.1,3854.35,2363107,integer optimal solution,2.39
64,CARP_K9_p_graph.dat,1735,2226,40,unlimited,10410.56,1894302,integer optimal solution,2870.68,158.1,3028.78,1894302,integer optimal solution,3.44
65,CARP_K9_p_graph.dat,1735,2226,50,unlimited,12325.09,1589064,integer optimal solution,3190.22,158.1,3348.32,1589064,integer optimal solution,3.68
66,CARP_K9_p_graph.dat,1735,2226,100,unlimited,25220.7,822347,integer optimal solution,3043.25,158.1,3201.35,822347,"""integer optimal",7.88
67,CARP_F15_g_graph.dat,198,265,2,unlimited,8.98,111082,integer optimal solution,9.03,0.64,9.67,111082,integer optimal solution,0.93
